comments,article id,study id,author,publication year,title,data location,study_name,Study_ID,Article_DOI,Firstauthor_Year,Journal_Title,Publication_Year,Study_Country,Lat_Long,Lat_Long_Method,Study_Design,Study_Characteristics,Study_Species,Movement_category,Response_measured,Response_description,Subgroup_description,B_data_collection_season,A_data_collection_season,C_data_collection_season,I_data_collection_season,Tracking_method,Minimum_tracking_period,Mean_tracking_period,Mean_fixes,Minimum_fixes,Impact_fire_type,Impact_fire_season,Impact_fire_characteristics,Impact_fire_size,Maximum_treatment_burn_age,Comparator_fire_history,Data_source,Sample_Size_Before,Mean_Before,SEM_Before,SD_Before,95__CI_Before,Sample_Size_After,Mean_After,SEM_After,SD_After,95__CI_After,Sample_Size_Control,Mean_Control,SEM_Control,SD_Control,95__CI_Control,Sample_Size_Impact,Mean_Impact,SEM_Impact,SD_Impact,95__CI_Impact,Sample_Size_Control_Before,Mean_Control_Before,SEM__Control_Before,SD__Control_Before,95__CI__Control_Before,Sample_Size_Control_After,Mean_Control_After,SEM_Control_After,SD_Control_After,95__CI_Control_After,Sample_Size_Impact_Before,Mean_Impact_Before,SEM_Impact_Before,SD_Impact_Before,95__CI_Impact_Before,Sample_Size_Impact_After,Mean_Impact_After,SEM_Impact_After,SD_Impact_After,95__CI_Impact_After,Comments
,9,1,"Cox, JA; Jones, CD",2007,"Home range and survival characteristics of male Bachman's Sparrows in an old-growth forest managed with breeding season burns
",row created by CADIMA,row created by CADIMA,1,10.1111/j.1557-9263.2007.00113.x,Cox2007,Journal of Field Ornithology,2007,United States of America,"30?45?N, 84?00?W",Provided by authors,CI,"Compared median size of home ranges between home ranges located in burned or unburned areas. ""Territories where >75% of the ground
cover was eliminated were classified as burned,
whereas territories where <25% of the ground cover was eliminated were classified as unburned."" pg. 265
cover was eliminated were classified as unburned.",Aimophila aestivalis,Home range,Home range size,"Mean home range size,  quantified using 95% fixed kernel. GPS locations used in home range analysis determined by searching for banded individuals.",Males,NA,NA,Spring/summer,Spring/summer,visual,3 months,Not provided,Not provided,Not provided,Planned,Spring/summer,Not provided,Not provided,"4 months (First burns in May, last tracking date each year in August)","Unburnt in the year of data collection. ""Approximately half the tract
(40 ha) is burned each year in an alternating
manner (half not burned)."" pg 264","Paragraph 1 of results, pg 266",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,2.1 ha,NA,1.1 ha,NA,23,1.9 ha,NA,1.6 ha,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Home range given in hectares. Authors note some skewness in size, and report medians as well as means."
,10,1,"Kelt, DA; Kelly, PA; Phillips, SE; Williams, DF",2014,"Home range size and habitat selection of reintroduced <i>Sylvilagus</i> <i>bachmani</i> <i>riparius</i>
",row created by CADIMA,row created by CADIMA,2,10.1644/13-MAMM-A-187,Kelt2014,Journal of Mammalogy,2014,United States of America,"37*36'54""N, 121*12'47""W",Provided by authors,BA,"Compared home range size 90 days pre and  days post fire. Captive born rabbits released into refuge property. Refuge property was previously cultivated, has since been revegetated and replanted. Captive born rabbits were progeny of wild caught rabbits.",Sylvilagus bachmani riparius,Home range,Home range size,"Mean home range size, estimated using fixed kernel methods.","Males and females, 11 of each",Spring/Summer,Summer/Autumn,NA,NA,VHF. Position estimation via handheld and triangulation,180 days,NA,Not provided,Unclear,Wildfire,Summer,Not provided,588 ha,90 days,Unburnt by this specific fire event. No other details provided.,"Paragraph 2 of results, pg 519",22,1.49 ha,0.81 ha,NA,NA,22,1.92 ha,1.33 ha,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Authors provide total number of fixes used in home range analysis across all seasons and all individuals, but don't specify for the 90 days pre and post fire."
,13,1,"Flaherty, JP; Gienger, CM",2020,"HABITAT SELECTION AND MOVEMENT PATTERNS OF COPPERHEADS (<i>AGKISTRODON CONTORTRIX</i>) IN FIRE-ALTERED LANDSCAPES
",row created by CADIMA,row created by CADIMA,3,NA,Flaherty2020,Herpetological Conservation and Biology,2020,United States of America,"36.85759501347795, -88.07137319140226",Estimated by reviewer. Coordinates taken from google pin of LBL Recreational Area,CI,"Compared home range size of males snakes in areas burnt by two prescribed fires and areas not burned during these fires. Snakes relocated between mid May and early October. ""We considered snakes in either
Burn or Control when they spent at least 65% of their
time in one of the habitat types."" pg. 151",Agkistrodon contortrix,Home range,Home range size,"Mean home range size, estimated using 95% fixed kernel density",Males,NA,NA,Spring/Summer/Fall mid May- early October,Spring/Summer/Fall mid May- early October,VHF,64 days,108.4 days,Not provided,Not provided,Planned,Spring & Fall,"Not quantified, authors suggest fires were low intensity. Ignited by dropped incendiaries from helicopter.",1000 ha,"~8.5 years (First burn in April 2007, last field season October 2015)",Unburnt by these fire events. No other details provided.,"Means, sample size, SEM and mean tracking period calculated from data in Table 3. Pg 155.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,22.6 ha,5.4 ha,NA,NA,6,11.6 ha,2.7 ha,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Means, sample size, SEM and mean tracking period calculated from data in Table 3. Pg 155."
,13,2,"Flaherty, JP; Gienger, CM",2020,"HABITAT SELECTION AND MOVEMENT PATTERNS OF COPPERHEADS (<i>AGKISTRODON CONTORTRIX</i>) IN FIRE-ALTERED LANDSCAPES
",NA,,4,NA,Flaherty2020,Herpetological Conservation and Biology,2020,United States of America,"36.85759501347795, -88.07137319140226",Estimated by reviewer. Coordinates taken from google pin of LBL Recreational Area,CI,"Compared  mean daily distance moved of males snakes in areas burnt by two prescribed fires and areas not burned during these fires. Snakes relocated between mid May and early October. ""We considered snakes in either
Burn or Control when they spent at least 65% of their
time in one of the habitat types."" pg. 152",Agkistrodon contortrix,Linear Distance,Daily distance moved,"Mean daily distance moved. Calculates as ""as the
distance between relocations divided by the number
of days elapsed between relocations"" pg. 152",Males,NA,NA,Spring/Summer/Fall mid May- early October,Spring/Summer/Fall mid May- early October,VHF,65 days,108.4 days,Not provided,Not provided,Planned,Spring & Fall,"Not quantified, authors suggest fires were low intensity. Ignited by dropped incendiaries from helicopter.",1000 ha,"~8.5 years (First burn in April 2007, last field season October 2015)",Unburnt by these fire events. No other details provided.,"Means, sample size, SEM and mean tracking period calculated from data in Table 3. Pg 155.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,15.5 m,1.8 m,NA,NA,6,16 m,3.3 m,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Means, sample size, SEM and mean tracking period calculated from data in Table 3. Pg 155. See calculation sheet."
,14,1,"Körtner, G; Pavey, CR; Geiser, F",2007,"Spatial ecology of the mulgara in arid Australia:: impact of fire history on home range size and burrow use
",row created by CADIMA,row created by CADIMA,5,10.1111/j.1469-7998.2007.00334.x,Kortner2007,Journal of Zoology,2007,Australia,"25*20'S, 131*02'E",Provided by authors,CI,"Estimated home range size for mulgaras occurring in mature and burned habitat. Authors do not compare home range sizes in control and burned habitat, but provided % of records in burnt areas and % of MCP burnt (Table 2, pg. 354). Following other studies, have classified individuals with >65% of MCP burned as burnt and <65% of MCP burned as control.",Dasycercus blythi,Home range,Home range size,"Mean home range size, 90% MCP",Males and females,NA,NA,Winter,Winter,VHF,6 days,33.9 days,Not provided,11,Not provided,Autumn,Not provided,Not provided,"3 years, 10 months (Burn in October 2002, last tracking date 21/08/2006)",Unburnt for 20 years. Pg 351,"Table 2, pg 354",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,9.6 ha,2.7 ha,NA,NA,2,20.8 ha,5 ha,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Means, sample sizes and SEM calculated from Table 3, pg 354, excluding individual M6 due to lack of data. See calculation sheet. Mean tracking period calculated from Table 1, pg. 353 using number of days monitored, excluding individual M6 sue to lack of data."
,32,1,"Jansen, R; Little, RM; Crowe, TM",2000,"Habitat utilization and home range of the redwing francolin, <i>Francolinus levaillantii</i>, in highland grasslands, Mpumalanga province, South Africa
",row created by CADIMA,row created by CADIMA,9,10.1046/j.1365-2028.2000.00256.x,Jansen2000,African Journal of Ecology,2000,South Africa,"30*10'E, 25*21'S",Estimated by reviewer. Coordinates estimated from map provided at Figure 1.,CI,"Estimated home range size on two grassland farms, one which is burned tri-annually and the other burned annually and high intensity grazing.",Francolinus levaillantii,Home range,Home range size,Mean home range size 95% kernel analysis,Not provided,NA,NA,Autumn,Autumn,VHF,10 days,10 days,Not provided,31,Planned,Not provided,Annual prescribed burned,Not provided,12 months,"Grassland burned triannually, date of last burn not provided.","Table 1, pg. 332",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,9.29 ha,4.09 ha,NA,NA,5,7.6 ha,1.32 ha,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SEM caculated by reviwers from Table 1, pg. 332. Tracking data from Table 2. All birds tracked for 10 days. Impact site confounded with intense grazing. Both sites are grassland sites, although there is difference in land use, protected area (control) vs commerical grazing (impact)."
,58,1,"Dalerum, F; Boutin, S; Dunford, JS",2007,"Wildfire effects on home range size and fidelity of boreal caribou in Alberta, Canada
",row created by CADIMA,row created by CADIMA,12,10.1139/Z06-186,Dalerum2007,Canadian Journal of Zoology,2007,Canada,"56.58770761066636, -115.26058555422698",Estimated by reviewer. Coordinates taken from google pin of estimated location of Red Earth study region.,BA,Compared home range size of nonmigratory boreal caribou before and after wildfire in the Red Earth study region. Animals relocated biweekly.,Rangifer tarandus caribou,Home range,Home range size,Mean annual home range size 95% fixed kernel,Largely female in Red Earth region,Annual (November - October),Annual (November - October),NA,NA,VHF,Not provided,Not provided,24.1,Not provided,Wildfire,Not provided,Not provided,1800 km2 (26% of study area),3 years,"""Aside from the areas burned in 1995 and 1998, little
else of either RE or ESAR had burned in the previous
20 years"" pg. 27","Figure 2, pg. 29",71,681.56 km2,142.46 km2,NA,NA,62,627.09 km2,107.54 km2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Data extracted from figure 2 using Webplot digitizer.
,58,2,"Dalerum, F; Boutin, S; Dunford, JS",2007,"Wildfire effects on home range size and fidelity of boreal caribou in Alberta, Canada
",na,,13,10.1139/Z06-186,Dalerum2007,Canadian Journal of Zoology,2007,Canada,"59.31948992119259, -114.954928506896",Estimated by reviewer. Coordinates taken from google pin of Caribou Mountains.,BA,Compared home range size of nonmigratory boreal caribou before and after wildfire in the Caribou Mountain study region. 6 months of pre-fire data and 6 years of post fire data. Animals relocated biweekly.,Rangifer tarandus caribou,Home range,Home range size,Mean annual home range size 95% fixed kernel,Largely female in Caribou Mountains Region,Not provided,Annual (November - October),NA,NA,VHF,Not provided,Not provided,24.6,Not provided,Wildfire,Not provided,Not provived,1700 km2 (23% of study region),6 years,Wildfires in 1980s of similar size may have some overlap with unburnt area. Whether there is not specified by authors.,"Figure 2, pg. 30",15,1409.22 km2,360.34 km2,NA,NA,91,1424.58 km2,243.02 km2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Data extracted from figure 2 using Webplot digitizer.
,58,3,"Dalerum, F; Boutin, S; Dunford, JS",2007,"Wildfire effects on home range size and fidelity of boreal caribou in Alberta, Canada
",NA,,14,10.1139/Z06-186,Dalerum2007,Canadian Journal of Zoology,2007,Canada,"55.55411159224501, -112.0860631229829",Estimated by reviewer. Coordinates taken from estimated mid point of the East Side Athabasca River study region. Low accuracy.,BA,Compared home range size of nonmigratory boreal caribou before and after wildfire in the East Side Athabasca study region. Animals relocated monthly.,Rangifer tarandus caribou,Home range,Home range size,Mean annual home range size 95% fixed kernel,Largely female in the East Side Athabasca River Region,Annual (November - October),Annual (November - October),NA,NA,VHF,Not provided,Not provided,12.6,Not provided,Wildfire,Not provided,Not provided,1400 km2 (14% of study area),6 years,"""Aside from the areas burned in 1995 and 1998, little
else of either RE or ESAR had burned in the previous
20 years."" pg. 27","Figure 2, pg. 31",72,266.76 km2,67.04 km2,NA,NA,134,294.69 km2,71.23 km2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Data extracted from figure 2 using Webplot digitizer.
,67,1,"Hope, B",2012,"Short-term response of the long-nosed bandicoot, <i>Perameles nasuta</i>, and the southern brown bandicoot, <i>Isoodon obesulus obesulus</i>, to low-intensity prescribed fire in heathland vegetation
",row created by CADIMA,row created by CADIMA,15,10.1071/WR12110,Hope2012,Wildlife Research,2012,Australia,"33*41'14""S, 151*09'04""E",Provided by authors,BA,Compared home range size of two species of bandicoots before and after a low intensity prescribed fire.,Perameles nasuta,Home range,Home range size,"Mean home range size, 95% fixed kernel density",Adult males and females,Autumn,Winter,NA,NA,VHF,Not provided,Not provided,24.3,9,Planned,Autumn,"""Low intensity (typical flame height 0.3-2m)"" pg. 732. Localised flare ups sorching canopy upto 15 m. Patchy, imcomplete combustion of leaf litter ~30% of burn area.",24.6 ha,3 months,18 years since last wildfire. No European prescribed burning has occurred in study area.,Table 3,5,6.4 ha,1.9 ha,NA,NA,5,7.2 ha,1.8 ha,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Mean home range, SEM mean relocations and minimum relocations calculated by reviwer from data in Table 3. Includes home range data from 2 individuals prefire with low number of relocations (authors note data insufficent) and 1 individual post fire also noted as insufficent data."
,69,1,"Kreling, SES; Gaynor, KM; McInturff, A; Calhoun, KL; Brashares, JS",2021,"Site fidelity and behavioral plasticity regulate an ungulate's response to extreme disturbance
",row created by CADIMA,row created by CADIMA,16,10.1002/ece3.8221,Kreling2021,Ecology and Evolution,2021,United States of America,"39*00'N, 123*04'W",Provided by authors,BACI,Compared home range size of black tailed deer in a natural experiment from the Mendocino Fire Complex,Odocoileus hemionus columbianus,Home range,Home range size,"Mean home range size, 95% local convex hull","Adult deer, 16 females",Summer,Summer,Summer,Summer,GPS,15 days,Not provided,Not provided,Not provided,Wildfire,Summer,"Mendocino Fire Complex described as a megafire, at the date of publication ""the second largest fire in California history"" burning 1858 km2  pg. 15685.",Within study area 13.8 km2,1 month,Unburnt in the year of data collection. No other information provided.,"Section 3.1 of results, paragraph 2  pg. 15688",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,0.14 km2,NA,0.09,NA,5,0.20 km2,NA,0.14,NA,11,0.17 km2,NA,0.05,NA,11,0.24 km2,NA,0.11,NA,Data was subset so each individual had same number of fixes before and after fire. Tracking periods before and after ranged from 15 to 25 days.
