your comment,comments,article id,study id,author,publication year,title,data location,study_name,Study_ID,Article_DOI,Firstauthor_Year,Journal_Title,Publication_Year,Study_Country,Lat_Long,Lat_Long_Method,Study_Design,Study_Characteristics,Study_Species,Movement_category,Response_measured,Response_description,Subgroup_description,B_data_collection_season,A_data_collection_season,C_data_collection_season,I_data_collection_season,Tracking_method,Minimum_tracking_period,Mean_tracking_period,Mean_fixes,Minimum_fixes,Impact_fire_type,Impact_fire_season,Impact_fire_characteristics,Impact_fire_size,Maximum_treatment_burn_age,Comparator_fire_history,Data_source,Sample_Size_Before,Mean_Before,SEM_Before,SD_Before,95__CI_Before,Sample_Size_After,Mean_After,SEM_After,SD_After,95__CI_After,Sample_Size_Control,Mean_Control,SEM_Control,SD_Control,95__CI_Control,Sample_Size_Impact,Mean_Impact,SEM_Impact,SD_Impact,95__CI_Impact,Sample_Size_Control_Before,Mean_Control_Before,SEM__Control_Before,SD__Control_Before,95__CI__Control_Before,Sample_Size_Control_After,Mean_Control_After,SEM_Control_After,SD_Control_After,95__CI_Control_After,Sample_Size_Impact_Before,Mean_Impact_Before,SEM_Impact_Before,SD_Impact_Before,95__CI_Impact_Before,Sample_Size_Impact_After,Mean_Impact_After,SEM_Impact_After,SD_Impact_After,95__CI_Impact_After,Comments
,,9,1,"Cox, JA; Jones, CD",2007,"Home range and survival characteristics of male Bachman's Sparrows in an old-growth forest managed with breeding season burns
",row created by CADIMA,row created by CADIMA,1,10.1111/j.1557-9263.2007.00113.x,Cox2007,Journal of Field Ornithology,2007,United States of America,"30.75, - 84",Provided by authors,CI,"Compared median size of home ranges between home ranges located in burned or unburned areas. ""Territories where >75% of the ground
cover was eliminated were classified as burned,
whereas territories where <25% of the ground cover was eliminated were classified as unburned."" pg. 265
cover was eliminated were classified as unburned.",Aimophila aestivalis,Home range,Home range size,"Mean home range size,  quantified using 95% fixed kernel. GPS locations used in home range analysis determined by searching for banded individuals.",Males,NA,NA,Spring/summer,Spring/summer,visual,3 months,Not provided,Not provided,Not provided,Planned,Spring/summer,Not provided,Not provided,"4 months (First burns in May, last tracking date each year in August)","Unburnt in the year of data collection. ""Approximately half the tract
(40 ha) is burned each year in an alternating
manner (half not burned)."" pg 264","Paragraph 1 of results, pg 266",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,2.1 ha,NA,1.1 ha,NA,23,1.9 ha,NA,1.6 ha,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Home range given in hectares. Authors note some skewness in size, and report medians as well as means."
,,10,1,"Kelt, DA; Kelly, PA; Phillips, SE; Williams, DF",2014,"Home range size and habitat selection of reintroduced <i>Sylvilagus</i> <i>bachmani</i> <i>riparius</i>
",row created by CADIMA,row created by CADIMA,2,10.1644/13-MAMM-A-187,Kelt2014,Journal of Mammalogy,2014,United States of America,"37.615, -121.21306",Provided by authors,BA,"Compared home range size 90 days pre and  days post fire. Captive born rabbits released into refuge property. Refuge property was previously cultivated, has since been revegetated and replanted. Captive born rabbits were progeny of wild caught rabbits.",Sylvilagus bachmani riparius,Home range,Home range size,"Mean home range size, estimated using fixed kernel methods.","Males and females, 11 of each",Spring/Summer,Summer/Autumn,NA,NA,VHF. Position estimation via handheld and triangulation,180 days,NA,Not provided,Unclear,Wildfire,Summer,Not provided,588 ha,90 days,Unburnt by this specific fire event. No other details provided.,"Paragraph 2 of results, pg 519",22,1.49 ha,0.81 ha,NA,NA,22,1.92 ha,1.33 ha,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Authors provide total number of fixes used in home range analysis across all seasons and all individuals, but don't specify for the 90 days pre and post fire."
,,13,1,"Flaherty, JP; Gienger, CM",2020,"HABITAT SELECTION AND MOVEMENT PATTERNS OF COPPERHEADS (<i>AGKISTRODON CONTORTRIX</i>) IN FIRE-ALTERED LANDSCAPES
",row created by CADIMA,row created by CADIMA,3,NA,Flaherty2020,Herpetological Conservation and Biology,2020,United States of America,"36.85759501347795, -88.07137319140226",Estimated by reviewer. Coordinates taken from google pin of LBL Recreational Area,CI,"Compared home range size of males snakes in areas burnt by two prescribed fires and areas not burned during these fires. Snakes relocated between mid May and early October. ""We considered snakes in either
Burn or Control when they spent at least 65% of their
time in one of the habitat types."" pg. 151",Agkistrodon contortrix,Home range,Home range size,"Mean home range size, estimated using 95% fixed kernel density",Males,NA,NA,Spring/Summer/Fall mid May- early October,Spring/Summer/Fall mid May- early October,VHF,64 days,108.4 days,Not provided,Not provided,Planned,Spring & Fall,"Not quantified, authors suggest fires were low intensity. Ignited by dropped incendiaries from helicopter.",1000 ha,"~8.5 years (First burn in April 2007, last field season October 2015)",Unburnt by these fire events. No other details provided.,"Means, sample size, SEM and mean tracking period calculated from data in Table 3. Pg 155.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,22.6 ha,5.4 ha,NA,NA,6,11.6 ha,2.7 ha,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Means, sample size, SEM and mean tracking period calculated from data in Table 3. Pg 155."
,,13,2,"Flaherty, JP; Gienger, CM",2020,"HABITAT SELECTION AND MOVEMENT PATTERNS OF COPPERHEADS (<i>AGKISTRODON CONTORTRIX</i>) IN FIRE-ALTERED LANDSCAPES
",NA,,4,NA,Flaherty2020,Herpetological Conservation and Biology,2020,United States of America,"36.85759501347795, -88.07137319140226",Estimated by reviewer. Coordinates taken from google pin of LBL Recreational Area,CI,"Compared  mean daily distance moved of males snakes in areas burnt by two prescribed fires and areas not burned during these fires. Snakes relocated between mid May and early October. ""We considered snakes in either
Burn or Control when they spent at least 65% of their
time in one of the habitat types."" pg. 152",Agkistrodon contortrix,Linear Distance,Daily distance moved,"Mean daily distance moved. Calculates as ""as the
distance between relocations divided by the number
of days elapsed between relocations"" pg. 152",Males,NA,NA,Spring/Summer/Fall mid May- early October,Spring/Summer/Fall mid May- early October,VHF,65 days,108.4 days,Not provided,Not provided,Planned,Spring & Fall,"Not quantified, authors suggest fires were low intensity. Ignited by dropped incendiaries from helicopter.",1000 ha,"~8.5 years (First burn in April 2007, last field season October 2015)",Unburnt by these fire events. No other details provided.,"Means, sample size, SEM and mean tracking period calculated from data in Table 3. Pg 155.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,15.5 m,1.8 m,NA,NA,6,16 m,3.3 m,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Means, sample size, SEM and mean tracking period calculated from data in Table 3. Pg 155. See calculation sheet."
,,14,1,"Körtner, G; Pavey, CR; Geiser, F",2007,"Spatial ecology of the mulgara in arid Australia:: impact of fire history on home range size and burrow use
",row created by CADIMA,row created by CADIMA,5,10.1111/j.1469-7998.2007.00334.x,Kortner2007,Journal of Zoology,2007,Australia," - 25.33333, 131.03333",Provided by authors,CI,"Estimated home range size for mulgaras occurring in mature and burned habitat. Authors do not compare home range sizes in control and burned habitat, but provided % of records in burnt areas and % of MCP burnt (Table 2, pg. 354). Following other studies, have classified individuals with >65% of MCP burned as burnt and <65% of MCP burned as control.",Dasycercus blythi,Home range,Home range size,"Mean home range size, 90% MCP",Males and females,NA,NA,Winter,Winter,VHF,6 days,33.9 days,Not provided,11,Unclear,Autumn,Not provided,Not provided,"3 years, 10 months (Burn in October 2002, last tracking date 21/08/2006)",Unburnt for 20 years. Pg 351,"Table 2, pg 354",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,9.6 ha,2.7 ha,NA,NA,2,20.8 ha,5 ha,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Means, sample sizes and SEM calculated from Table 3, pg 354, excluding individual M6 due to lack of data. See calculation sheet. Mean tracking period calculated from Table 1, pg. 353 using number of days monitored, excluding individual M6 sue to lack of data."
,,17,1,"Michael, DR; Cunningham, RB; Macgregor, C; Brown, D; Lindenmayer, DB",2014,"The effects of prey, habitat heterogeneity and fire on the spatial ecology of peninsular Diamond Pythons (<i>Morelia spilota spilota</i>: Pythonidae)
",row created by CADIMA,row created by CADIMA,6,10.1111/aec.12056,Michael2014,Austral Ecology,2014,Australia," -35.15388889, 150.71138889","Provided by authors, assuming the last 4 on the easting is meant to be E.",CI,"Estimated home range size for pythons using MCP and kernel density estimates. Classified home ranges as either burnt or unburnt based on GIS layer of mammal trapping site burnt in 2003, and four time since fire categories (0-3 years post fire)",Morelia spilota spilota,Home range,Home range size,Mean home range size,"Males and females, Will combine sexes depsite significant differences in home range size found by authors due to small sample size.",NA,NA,Spring/Summer/Autumn,Spring/Summer/Autumn,VHF,304 days,850 days,,25,Wildfire,Summer,"Four severity scores defined by authors "" 1?=?understorey burnt, 2?=?midstorey burnt but not killed, 3?=?midstorey burnt and killed, and 4?=?overstorey burnt and killed."" pg. 184",Not provided,4 years 2 months,"History of prescribed burning at the site, specifics not provided",Tracking data from Appendix 1.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NEED TO CONTACT AUTHORS FOR HOME RANGE DATA. Tracking data calculated from Appendix 1.
,,19,1,"Povh, LF; Willers, N; Shephard, JM; Fleming, PA",2023,"A conservation-significant threatened mammal uses fire exclusions and shifts ranges in the presence of prescribed burning
",row created by CADIMA,row created by CADIMA,7,10.1071/WF22196,Povh2023,International Journal of Wildland Fire,2023,Australia,"-32.35661, 116.1563",Estimated by reviewer. Coordinates taken from google pin of estimated location of Chandler block,BACI,Compared home ranges of quokkas using BACI design,Setonix brachyurus,Home range,Home range size,Mean home range size,Adult males,Autumn/Winter/Spring,Spring/Summer/Autumn,Autumn/Winter/Spring/Aummer,Autumn/Winter/Spring/Aummer,VHF & GPS,66 days,201.7 days,,19,Planned,Spring,Not provided,Not provided,7 months,Not provided,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,"NEED TO CONTACT AUTHORS FOR HOME RANGE DATA. Tracking data calculated from Table 1, pg. 1296"
,,30,1,"Rota, CT; Rumble, MA; Millspaugh, JJ; Lehman, CP; Kesler, DC",2014,"Space-use and habitat associations of Black-backed Woodpeckers (<i>Picoides arcticus</i>) occupying recently disturbed forests in the Black Hills, South Dakota
",row created by CADIMA,row created by CADIMA,8,10.1016/j.foreco.2013.10.048,Rota2014,Forest Ecology and Management,2014,United States of America,"44.095017476704484, -103.85866245374653",Estimated by reviewers from mid point of black hills national forest,CI,Compared home range size of woodpeckers in mountain pine beetle disturbed forest and forest burned by summer wildfire,Picoides arcticus,Home range,"Home range size, 99% fixed kernel density","Home range size, 99% fixed kernel density",Adults,NA,NA,All seasons,All seasons,VHF,Not provided,Not provided,Not provided,30,Wildfire,Summer,Not provided,Not provided,1 year,"Not provided, ongoing history of mountain pine beetle infestation","Table 2, pg. 164",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27,307,,,,11,70,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NEED TO CONTACT AUTHORS - No SEMs given. Control sites were chosen as the summer wildlife, and not the fall prescribed fire, as it was the treatment with most recent fire."
,,32,1,"Jansen, R; Little, RM; Crowe, TM",2000,"Habitat utilization and home range of the redwing francolin, <i>Francolinus levaillantii</i>, in highland grasslands, Mpumalanga province, South Africa
",row created by CADIMA,row created by CADIMA,9,10.1046/j.1365-2028.2000.00256.x,Jansen2000,African Journal of Ecology,2000,South Africa," - 25.35000, 30.16667",Estimated by reviewer. Coordinates estimated from map provided at Figure 1.,CI,"Estimated home range size on two grassland farms, one which is burned tri-annually and the other burned annually and high intensity grazing.",Francolinus levaillantii,Home range,Home range size,Mean home range size 95% kernel analysis,Not provided,NA,NA,Autumn,Autumn,VHF,10 days,10 days,Not provided,31,Planned,Not provided,Annual prescribed burned,Not provided,12 months,"Grassland burned triannually, date of last burn not provided.","Table 1, pg. 332",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,9.29 ha,4.09 ha,NA,NA,5,7.6 ha,1.32 ha,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SEM caculated by reviwers from Table 1, pg. 332. Tracking data from Table 2. All birds tracked for 10 days. Impact site confounded with intense grazing. Both sites are grassland sites, although there is difference in land use, protected area (control) vs commerical grazing (impact)."
,,33,1,"MacGregor, CI; Wood, JT; Dexter, N; Lindenmayer, DB",2013,"Home range size and use by the long-nosed bandicoot (<i>Perameles nasuta</i>) following fire
",row created by CADIMA,row created by CADIMA,10,10.1071/AM12032,MacGregor2013,Australian Mammalogy,2013,Australia," -35.157315567451256, 150.66951862304788",Provided by authors,CI,Estimated home range of bandicoots at forest and woodland sites.,Perameles nasuta,Home range,Home range size,Mean home range size 95% MCP,Males and female,NA,NA,Not provided,Not provided,VHF,Not provided,40 days,,Not provided,Wildfire,Summer,"""Burned patchily"" pg. 208. ""Most heath burnt at
high severity while most forest and woodland sites burnt at low
to moderate severity levels"" pg. 208",Not provided,"2 years (Burned in December 2003, last tracking in 2005)",Unburnt by this specific fire event. No other details provided.,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,,,,,11,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NEED TO CONTACT AUTHORS. Sample size and outpout from stats provided ""There was no significant difference between the mean homerange
size of P. nasuta radio-tracked in vegetation that was burnt
in 2003 (n = 11) and those radio-tracked in vegetation that was not
burnt in 2003 (n=9) (t = 0.81, d.f. = 18, P = 0.428)."" pg. 212, however means and SEMS are not"
