Study_ID,Article_DOI,Firstauthor_Year,Journal_Title,Publication_Year,Study_Country,Lat_Long,Study_Design,Study_Species,Movement_category,Response_measured,Response_description,Subgroup_description,B_data_collection_season,A_data_collection_season,C_data_collection_season,I_data_collection_season,Tracking_method,Minimum_tracking_period (days),Mean_tracking_period (days),Mean_fixes,Minimum_fixes,Impact_fire_type,Impact_fire_season,Impact_fire_characteristics,Impact_fire_size_ha,Maximum_treatment_burn_age_days,Data_source,Mean_Fire,Upper_Fire,Lower_Fire,Mean_Unburned,Upper_Unburned,Lower_Unburned,CI_Type,Comments
1,10.1111/j.1557-9263.2007.00113.x,Cox2007,Journal of Field Ornithology,2007,United States of America,"30.75, - 84",CI,Aimophila aestivalis,Home range,Home range size,"Mean home range size,  quantified using 95% fixed kernel. GPS locations used in home range analysis determined by searching for banded individuals.",Males,NA,NA,Spring/summer,Spring/summer,visual,91,NA,Not provided,Not provided,Planned,Spring/summer,Not provided,Not provided,122,"Paragraph 1 of results, pg 266",2.1,3.2,1,1.9,3.5,0.3,SD,"Home range given in hectares. Authors note some skewness in size, and report medians as well as means."
2,10.1644/13-MAMM-A-187,Kelt2014,Journal of Mammalogy,2014,United States of America,"37.615, -121.21306",BA,Sylvilagus bachmani riparius,Home range,Home range size,"Mean home range size, estimated using fixed kernel methods.","Males and females, 11 of each",Spring/Summer,Summer/Autumn,NA,NA,VHF,180,NA,Not provided,Unclear,Wildfire,Summer,Not provided,588,90,"Paragraph 2 of results, pg 519",1.49,2.3,0.68,1.92,3.25,0.59,SE,"Authors provide total number of fixes used in home range analysis across all seasons and all individuals, but don't specify for the 90 days pre and post fire. Individual location via estimation via handheld and triangulation"
3,NA,Flaherty2020,Herpetological Conservation and Biology,2020,United States of America,"36.85759501347795, - 88.07137319140226",CI,Agkistrodon contortrix,Home range,Home range size,"Mean home range size, estimated using 95% fixed kernel density",Males,NA,NA,Spring/Summer/Fall mid May- early October,Spring/Summer/Fall mid May- early October,VHF,64,108.4,Not provided,Not provided,Planned,Spring & Fall,"Not quantified, authors suggest fires were low intensity. Ignited by dropped incendiaries from helicopter.",1000,3103,"Means, sample size, SEM and mean tracking period calculated from data in Table 3. Pg 155.",22.6,28,17.2,11.6,14.3,8.9,SE,"Means, sample size, SEM and mean tracking period calculated from data in Table 3. Pg 155."
4,NA,Flaherty2020,Herpetological Conservation and Biology,2020,United States of America,"36.85759501347795, - 88.07137319140226",CI,Agkistrodon contortrix,Linear Distance,Daily distance moved,"Mean daily distance moved. Calculates as ""as the
distance between relocations divided by the number
of days elapsed between relocations"" pg. 152",Males,NA,NA,Spring/Summer/Fall mid May- early October,Spring/Summer/Fall mid May- early October,VHF,65,108.4,Not provided,Not provided,Planned,Spring & Fall,"Not quantified, authors suggest fires were low intensity. Ignited by dropped incendiaries from helicopter.",1000,3103,"Means, sample size, SEM and mean tracking period calculated from data in Table 3. Pg 155.",16,19.3,12.7,15.5,17.3,13.7,SE,"Means, sample size, SEM and mean tracking period calculated from data in Table 3. Pg 155. See calculation sheet."
5,10.1111/j.1469-7998.2007.00334.x,Kortner2007,Journal of Zoology,2007,Australia," - 25.33333, 131.03333",CI,Dasycercus blythi,Home range,Home range size,"Mean home range size, 90% MCP",Males and females,NA,NA,Winter,Winter,VHF,6,33.9,Not provided,11,Not provided,Autumn,Not provided,Not provided,1399,"Table 2, pg 354",9.6,12.3,6.9,20.8,25.8,15.8,SE,"Means, sample sizes and SEM calculated from Table 3, pg 354, excluding individual M6 due to lack of data. See calculation sheet. Mean tracking period calculated from Table 1, pg. 353 using number of days monitored, excluding individual M6 sue to lack of data."
6,10.1046/j.1365-2028.2000.00256.x,Jansen2000,African Journal of Ecology,2000,South Africa," - 25.35000, 30.16667",CI,Francolinus levaillantii,Home range,Home range size,Mean home range size 95% kernel analysis,Not provided,NA,NA,Autumn,Autumn,VHF,10,10,Not provided,31,Planned,Not provided,Annual prescribed burned,Not provided,365,"Table 1, pg. 332",9.29,13.38,5.2,7.6,8.92,6.28,SE,"SEM caculated by reviwers from Table 1, pg. 332. Tracking data from Table 2. All birds tracked for 10 days. Impact site confounded with intense grazing. Both sites are grassland sites, although there is difference in land use, protected area (control) vs commerical grazing (impact)."
8,10.1139/Z06-186,Dalerum2007,Canadian Journal of Zoology,2007,Canada,"56.58770761066636, - 115.26058555422698",BA,Rangifer tarandus caribou,Home range,Home range size,Mean annual home range size 95% fixed kernel,Largely female in Red Earth region,Annual (November - October),Annual (November - October),NA,NA,VHF,NA,NA,24.1,Not provided,Wildfire,Not provided,Not provided,180000,1095,"Figure 2, pg. 29",68156,82402,53910,62709,73463,51955,SE,Data extracted from figure 2 using Webplot digitizer.
9,10.1139/Z06-186,Dalerum2007,Canadian Journal of Zoology,2007,Canada,"59.31948992119259, - 114.954928506896",BA,Rangifer tarandus caribou,Home range,Home range size,Mean annual home range size 95% fixed kernel,Largely female in Caribou Mountains Region,Not provided,Annual (November - October),NA,NA,VHF,NA,NA,24.6,Not provided,Wildfire,Not provided,Not provived,170000,2190,"Figure 2, pg. 30",140922,176956,104888,142458,166760,106424,SE,Data extracted from figure 2 using Webplot digitizer.
10,10.1139/Z06-186,Dalerum2007,Canadian Journal of Zoology,2007,Canada,"55.55411159224501, - 112.0860631229829",BA,Rangifer tarandus caribou,Home range,Home range size,Mean annual home range size 95% fixed kernel,Largely female in the East Side Athabasca River Region,Annual (November - October),Annual (November - October),NA,NA,VHF,NA,NA,12.6,Not provided,Wildfire,Not provided,Not provided,140000,2190,"Figure 2, pg. 31",26676,33380,19972,29469,36592,22346,SE,Data extracted from figure 2 using Webplot digitizer.
11,10.1071/WR12110,Hope2012,Wildlife Research,2012,Australia," - 33.68722, 151.15111",BA,Perameles nasuta,Home range,Home range size,"Mean home range size, 95% fixed kernel density",Adult males and females,Autumn,Winter,NA,NA,VHF,NA,NA,24.3,9,Planned,Autumn,"""Low intensity (typical flame height 0.3-2m)"" pg. 732. Localised flare ups sorching canopy upto 15 m. Patchy, imcomplete combustion of leaf litter ~30% of burn area.",24.6,91,Table 3,6.4,8.3,4.5,7.2,9,5.4,SE,"Mean home range, SEM mean relocations and minimum relocations calculated by reviwer from data in Table 3. Includes home range data from 2 individuals prefire with low number of relocations (authors note data insufficent) and 1 individual post fire also noted as insufficent data."
12,10.1002/ece3.8221,Kreling2021,Ecology and Evolution,2021,United States of America,"39.00000, - 123.06667",BACI,Odocoileus hemionus columbianus,Home range,Home range size,"Mean home range size, 95% local convex hull","Adult deer, 16 females",Summer,Summer,Summer,Summer,GPS,15,NA,Not provided,Not provided,Wildfire,Summer,"Mendocino Fire Complex described as a megafire, at the date of publication ""the second largest fire in California history"" burning 1858 km2  pg. 15685.",1380,30,"Section 3.1 of results, paragraph 2  pg. 15688",1.41176506,3.61176506,-0.78823494,1.428571429,2.984571429,-0.127428571,SD,Data was subset so each individual had same number of fixes before and after fire. Tracking periods before and after ranged from 15 to 25 days.
13,10.1002/ece3.8221,Kreling2021,Ecology and Evolution,2021,United States of America,"39.00000, - 123.06667",CI,Odocoileus hemionus columbianus,Linear Distance,Displacement,"Mean displacement during fire event and 3 day period post fire, calculated as follows "" identified the point during the fire and the 3-day post-
fire period that was farthest from the pre-fire LoCoH home range
centroid and calculated the Euclidean distance between points"" pg. 15687","Adult deer, mostly females",Summer,Summer,Summer,Summer,GPS,15,NA,Not provided,Not provided,Wildfire,Summer,"Mendocino Fire Complex described as a megafire, at the date of publication ""the second largest fire in California history"" burning 1858 km2  pg. 15685.",1380,30,"Section 3.1 of results, paragraph 1 pg. 15687-15688",1170,2280,60,250,360,140,SD,Centriod displacement during the passage of fire and three day period post fire. Data was subset so each individual had same number of fixes before and after fire. Tracking periods before and after ranged from 15 to 25 days.
