,estimate,se,tval,df,pval,ci.lb,ci.ub,term
1,0.17,0.1,1.72,92,0.09,-0.03,0.38,intrcpt
2,0.12,0.11,1.12,90,0.27,-0.1,0.34,Movement_categoryHome Range
3,0.27,0.13,2.16,90,0.03,0.02,0.52,Movement_categoryLinear Distance
4,0.15,0.25,0.62,90,0.53,-0.34,0.65,Movement_categoryTortuosity
5,0.4,0.2,2.03,89,0.05,0.01,0.79,class_ncbiAves
6,0.18,0.14,1.29,89,0.2,-0.1,0.47,class_ncbiMammalia
7,0,0.21,0.01,89,0.99,-0.42,0.42,class_ncbiReptilia
8,0.15,0.16,0.92,75,0.36,-0.17,0.47,intrcpt1
9,0.08,0.22,0.34,75,0.73,-0.37,0.52,Impact_fire_typeWildfire
10,-0.21,0.38,-0.55,60,0.59,-0.96,0.55,intrcpt2
11,0.05,0.04,1.07,60,0.29,-0.04,0.13,log.size
12,0.51,0.38,1.36,89,0.18,-0.24,1.27,intrcpt3
13,-0.05,0.06,-0.86,89,0.39,-0.17,0.07,log.age
14,-0.69,0.36,-1.89,64,0.06,-1.41,0.04,biome_nameDeserts and xeric shrublands
15,0.3,0.47,0.65,64,0.52,-0.64,1.24,biome_nameFlooded grasslands and savannas
16,-0.23,0.39,-0.59,64,0.56,-1,0.55,"biome_nameMediterranean forests, woodlands, and scrub or sclerophyll forests"
17,0.15,0.31,0.48,64,0.63,-0.46,0.76,biome_nameTemperate broadleaf and mixed forests
18,-0.15,0.33,-0.45,64,0.65,-0.81,0.51,biome_nameTemperate coniferous forests
19,0.17,0.28,0.62,91,0.54,-0.38,0.73,intrcpt4
20,0,0.04,0.01,91,0.99,-0.07,0.07,logmass
21,-0.12,0.44,-0.26,56,0.79,-0.99,0.76,intrcpt5
22,0.04,0.05,0.71,56,0.48,-0.06,0.13,logmass1
23,0.15,1.34,0.11,18,0.91,-2.67,2.96,intrcpt6
24,0.04,0.14,0.3,18,0.77,-0.25,0.34,logmass2
25,1.03,0.63,1.64,12,0.13,-0.34,2.39,intrcpt7
26,-0.15,0.09,-1.66,12,0.12,-0.34,0.05,logmass3
27,0.18,0.27,0.68,81,0.5,-0.35,0.72,veg_climateclosed_Cold
28,-0.01,0.21,-0.03,81,0.98,-0.42,0.41,veg_climateclosed_Temperate
29,-0.2,0.25,-0.79,81,0.43,-0.7,0.3,veg_climateopen_Arid
30,0.81,0.39,2.07,81,0.04,0.03,1.58,veg_climateopen_Tropical
31,-0.09,0.2,-0.45,89,0.65,-0.49,0.31,ClimateArid
32,0.22,0.25,0.92,89,0.36,-0.26,0.71,ClimateCold
33,0.21,0.14,1.48,89,0.14,-0.07,0.49,ClimateTemperate
34,0.86,0.41,2.1,89,0.04,0.05,1.68,ClimateTropical
35,-0.41,0.46,-0.9,91,0.37,-1.33,0.5,intrcpt8
36,1.07,0.82,1.31,91,0.19,-0.56,2.7,fireactivi
37,0.24,0.21,1.12,91,0.26,-0.18,0.65,intrcpt9
38,-0.02,0.07,-0.33,91,0.74,-0.16,0.11,sqeffectN
39,67.86,24.82,2.73,91,0.01,18.55,117.16,intrcpt10
40,-0.03,0.01,-2.73,91,0.01,-0.06,-0.01,Publication_Year
