Article_DOI,Firstauthor_Year,Journal_Title,Publication_Year,Study_Country,Study_Design,Species_tree,Species,Movement_category,Response_measured,Response_description,Subgroup_description,B_data_collection_season,A_data_collection_season,C_data_collection_season,I_data_collection_season,Tracking_method,Impact_fire_type,Impact_fire_size_ha,Maximum_treatment_burn_age_days,Data_source,Mean_Fire,Upper_Fire,Lower_Fire,Mean_Unburned,Upper_Unburned,Lower_Unburned,CI_Type,Burned_n,Unburned_n,ReptTraits.Max_body_mass_g,AvoNet.Mean_mass_g,BodyMass.g,Phy.body_mass_g,BodyMassComments,biome_no,biome_name,class_ncbi
NA,Flaherty2020,Herpetological Conservation and Biology,2020,United States of America,CI,Agkistrodon_contortrix,Agkistrodon contortrix,Home range,Home range size,"Mean home range size, estimated using 95% fixed kernel density",Males,NA,NA,Spring/Summer/Fall mid May- early October,Spring/Summer/Fall mid May- early October,VHF,Planned,1000,3103,"Means, sample size, SEM and mean tracking period calculated from data in Table 3. Pg 155.",11.6,14.3,8.9,22.6,28,17.2,SE,6,12,1248.2,NA,1248.2,NA,,4,Temperate broadleaf and mixed forests,Lepidosauria
NA,Flaherty2020,Herpetological Conservation and Biology,2020,United States of America,CI,Agkistrodon_contortrix,Agkistrodon contortrix,Linear Distance,Daily distance moved,"Mean daily distance moved. Calculates as ""as the
distance between relocations divided by the number
of days elapsed between relocations"" pg. 152",Males,NA,NA,Spring/Summer/Fall mid May- early October,Spring/Summer/Fall mid May- early October,VHF,Planned,1000,3103,"Means, sample size, SEM and mean tracking period calculated from data in Table 3. Pg 155.",16,19.3,12.7,15.5,17.3,13.7,SE,6,12,1248.2,NA,1248.2,NA,,4,Temperate broadleaf and mixed forests,Lepidosauria
10.1111/j.1557-9263.2007.00113.x,Cox2007,Journal of Field Ornithology,2007,United States of America,CI,Peucaea_aestivalis,Aimophila aestivalis,Home range,Home range size,"Mean home range size,  quantified using 95% fixed kernel. GPS locations used in home range analysis determined by searching for banded individuals.",Males,NA,NA,Spring/summer,Spring/summer,visual,Planned,Not provided,122,"Paragraph 1 of results, pg 266",1.9,3.5,0.3,2.1,3.2,1,SD,23,17,NA,NA,18.8,NA,"Winiarski, J.M., Moorman, C.E. and Carpenter, J.P. (2017), Bachman's Sparrows at the northern periphery of their range: home range size and microhabitat selection. J. Field Ornithol., 88: 250-261. https://doi-org.ezproxy.csu.edu.au/10.1111/jofo.12215; Gonzembach, Hans & Wolverton, Heather & Anderson, Rindy. (2022). BA-BA-BACHMAN'S: A NOTE ON SONG PRODUCTION IN JUVENILE BACHMAN'S SPARROWS (Peucaea aestivalis). Florida Field Naturalist 50(3):70–81",5,Temperate coniferous forests,Aves
10.1007/s13364-014-0184-y,Venter2014,Acta Theriologica,2014,South Africa,CI,Alcelaphus_caama,Alcelaphus buselaphus camaa,Other space use,Mean time spent in habitat type,Mean time spent in habitat type,Males and females,NA,NA,All seasons,All seasons,VHF,Planned,Not provided,1673,"Figure 2, pg. 461",673.2,712.2,634.2,338.4,396.6,280.2,CI,7,7,NA,NA,171001.5,NA,From Alcelaphus_buselaphus Phylacine,1,Tropical and subtropical moist broadleaf forests,Mammalia
10.1007/s13364-014-0184-y,Venter2014,Acta Theriologica,2014,South Africa,CI,Alcelaphus_caama,Alcelaphus buselaphus camaa,Linear distance,Mean speed (m/hr),Mean speed (m/hr),Males and females,NA,NA,All seasons,All seasons,VHF,Planned,Not provided,1673,"Figure 2, pg. 461",453.66,504.53,402.79,474.56,545.64,403.48,CI,7,7,NA,NA,171001.5,NA,From Alcelaphus_buselaphus Phylacine,1,Tropical and subtropical moist broadleaf forests,Mammalia
10.5962/p.355397,Gasaway1985,Canadian Field-Naturalist,1985,United States of America,BA,Alces_alces,Alces alces,Other space use,Percentage of relocations,Percentage of relocations outside the burn perimeter,Unknown,Spring/Summer,Spring/Summer,NA,NA,VHF,Wildfire,Not provided,122,"Table 1, pg. 136",0.42,0.497,0.343,0.57,0.656,0.484,SE,48,68,NA,NA,356998,356998,,6,Boreal forests/taiga,Mammalia
10.5962/p.355397,Gasaway1985,Canadian Field-Naturalist,1985,United States of America,BA,Alces_alces,Alces alces,Other space use,Percentage of home range area outside burn perimeter,Mean percentage of home range outside the burn perimeter before and after fire,Unknown,Spring/Summer,Spring/Summer,NA,NA,VHF,Wildfire,Not provided,152,"Para 1 of results, pg. 137",0.53,0.69,0.37,0.258,0.383,0.133,SE,7,11,NA,NA,356998,356998,,6,Boreal forests/taiga,Mammalia
10.1139/z89-047,Gasaway1989,Canadian Journal of Zoology,1989,United States of America,BA,Alces_alces,Alces alces,Other space use,Percentage of fixes within fire perimeter,Percentage of fixes within fire perimeter,Not provided,Spring,Spring,NA,NA,VHF,Wildfire,50000,1764,"Table 2, pg.327",0.23,0.45,0.01,0.1,0.26,-0.06,SD,6,6,NA,NA,356998,356998,,6,Boreal forests/taiga,Mammalia
10.1139/z89-047,Gasaway1989,Canadian Journal of Zoology,1989,United States of America,BA,Alces_alces,Alces alces,Other space use,Percentage of fixes within fire perimeter,Percentage of fixes within fire perimeter,Not provided,Summer,Summer,NA,NA,VHF,Wildfire,50000,1764,"Table 2, pg.327",0.41,0.65,0.17,0,0,0,SD,6,6,NA,NA,356998,356998,,6,Boreal forests/taiga,Mammalia
10.1139/z89-047,Gasaway1989,Canadian Journal of Zoology,1989,United States of America,BA,Alces_alces,Alces alces,Other space use,Percentage of fixes within fire perimeter,Percentage of fixes within fire perimeter,Not provided,Summer/Spring,Summer/Spring,NA,NA,VHF,Wildfire,50000,1764,"Table 2, pg.327",0.55,0.64,0.46,0.17,0.188,0.152,SD,6,6,NA,NA,356998,356998,,6,Boreal forests/taiga,Mammalia
